序号,标题,发文单位,发文时间,文号,政策类别,正文,来源URL
11,高阳纺织业发展百年历程与乡村社会变迁（2002-2008年）,中国社会科学出版社,2008,,纺织行业、产业集群,高阳纺织区是华北著名的乡村工业区，从1908年进入现代化历程到改革开放后的加速现代化阶段，高阳纺织区具有上百年的发展历程。改革开放后的逐步发展阶段（1982-2008）：1992-2001年，高阳纺织业进入新一轮发展高潮；2002-2008年，纺织业产值持续增长，产业集群效应显著增强。全县纺织业总产值40亿元，实现利税6300多万元，全县农民纯收入的一半来自纺织业。,https://www.sklib.cn/booklib/bookPreview?SiteID=122&ID=6949205&fromSubID=267
12,高阳县污水处理厂扩容升级（2008-2012年三次提升改造）,经济日报,2008,,环保治理、循环经济,高阳县加大污水处理力度，从2008年开始经过三次提升改造，建成了目前河北省最大的县级污水处理厂。现在厂区日处理污水能力达到26万吨，转化再生水6万吨，实现了纺织企业污水和城区居民生活污水同步处理，出水水质达到大清河流域排放标准，确保不让一滴污水流入白洋淀。通过超滤和反渗透技术，把污水中的悬浮物等杂质去除掉，转化为再生水，然后通过管道输送给本地的印染企业，不仅实现了水的循环利用，每年还可节省地下水近2000万吨。,https://m.chinanews.com/wap/detail/chs/zw/10118060.shtml
13,"高阳被中国纺织工业协会评为""中国毛巾·毛毯名城""（2009年）",中国纺织工业协会,2009,,毛巾产业、品牌建设,"2009年高阳被中国纺织工业协会评为""中国毛巾·毛毯名城""。这是高阳纺织产业发展的重要里程碑，标志着高阳毛巾产业在全国的领先地位得到官方认可。高阳毛巾产量占全国产量的30%，毛毯占20%，出口额近3亿美元，成为省级出口基地。全县拥有纺织专业村98个，纺织企业及个体加工户4000余家。",http://www.gyfzzs.com/about.html
14,高阳纺织商贸城2009年成交额35亿元,高阳纺织商贸城管委会,2009,,毛巾产业、电子商务、市场建设,即使在全球金融危机的背景下，高阳纺织商贸城依然保持增长的市场交易额。2009年1~11月份，实现市场成交额35亿元，同比增长15%。市场内的业态模式是以批发为主，辅以出口业务、电子商务、商超供货、团购、促销品订单等形式。批发占98%以上，基本没有零售业务。出口量在3~4亿美金左右。电子商务方面，2008年9月商贸城管委会与中国家纺网合作建立了中国毛巾网，搭建网络交易平台，构建网上商贸城，目前注册企业会员106家，2009年1~10月网上成交额达4亿元。商超供货方面，永亮、三利、瑞春、图强等市场知名名牌企业和全国的中型商场超市建立直接供应关系，还和国际知名连锁超市如沃尔玛、家乐福等建立了广泛的合作，高阳品牌毛巾商超供货交易额每年达12亿元。,https://m.baike.com/wiki/高阳纺织商贸城/5052607
15,"高阳被中国纺织工业协会评为""中国毛巾·毛毯名城""",中国纺织工业协会,2009,,毛巾产业、品牌建设、产业集群,"2009年高阳被中国纺织工业协会评为""中国毛巾·毛毯名城""。高阳毛巾产量占全国产量的30%，毛毯占20%，出口额近3亿美元，成为省级出口基地。全县拥有纺织专业村98个，纺织企业及个体加工户4000余家。这是高阳纺织产业发展的重要里程碑，标志着高阳毛巾产业在全国的领先地位得到官方认可。",http://www.gyfzzs.com/about.html
16,"高阳被评为""河北省纺织产品（高阳）出口基地""",河北省人民政府,2010,,毛巾产业、外贸出口、产业集群,"2010年高阳被河北省评为""河北省纺织产品（高阳）出口基地""。高阳县是国家外贸转型升级专业型示范基地，现有出口企业500多家，出口总量居全国第三。近三年出口年均增长10%以上，产品远销到美国、俄罗斯、日本、罗马尼亚等50多个国家和地区。建设了产品创新、检测环保、交易展示、电子商务、人才培训5大类14个外贸公共服务平台。",http://www.gyfzzs.com/about.html
17,"高阳被评为""河北省纺织产品（高阳）出口基地""（2010年）",河北省人民政府,2010,,毛巾产业、外贸出口、产业集群,"2010年高阳被河北省评为""河北省纺织产品（高阳）出口基地""。高阳县是国家外贸转型升级专业型示范基地，现有出口企业500多家，出口总量居全国第三。近三年出口年均增长10%以上，产品远销到美国、俄罗斯、日本、罗马尼亚等50多个国家和地区，高档毛巾制品逐渐打入欧美市场。目前，在境外设立了200多个营销网点。建设了产品创新、检测环保、交易展示、电子商务、人才培训5大类14个外贸公共服务平台。",http://www.gyfzzs.com/about.html
18,高阳县中水回用工程建设（2011年）,高阳县政府,2011,,环保治理、循环经济,"2011年，高阳县建设中水回用工程，日出2万吨中水，回用于染纱项目。高阳县还建成了循环经济示范区，构建起了纺织印染、污水处理、再生水利用、集中供热、余热发电、渣灰制砖""六位一体""的循环产业链。这是高阳纺织产业绿色发展的重要举措。",http://m.toutiao.com/group/6868433987056960004/
19,卡缦公司向毛巾生产方向转型,上游新闻,2011,,毛巾产业、品牌建设,2011年企业领导层决定向毛巾生产方向转型，2013年成立了卡缦公司，工厂也正式投入生产，目前已经成为高阳毛巾行业中的领军企业。史树雷将电脑知识运用到设计工作当中，相比以往传统的设计制版方法能节省一半时间，也不再需要模仿别人，还能设计出新的样式。,http://m.toutiao.com/group/7417094596989944359/
20,高阳县中水回用工程建设（2011年）,高阳县政府,2011,,环保治理、循环经济,"2011年，高阳县建设中水回用工程，日出2万吨中水，回用于染纱项目。高阳县还建成了循环经济示范区，构建起了纺织印染、污水处理、再生水利用、集中供热、余热发电、渣灰制砖""六位一体""的循环产业链。这是高阳纺织产业绿色发展的重要举措，标志着产业循环经济体系的初步形成。",http://m.toutiao.com/group/6868433987056960004/
21,永亮毛巾成立电子商务部，开启触网历程,燕赵都市报,2011,,毛巾产业、电子商务,"永亮毛巾2011年才成立电子商务部，在高阳企业里不算早。最初7人团队走得就剩俩人，最大的掣肘就是人才。转机发生在2012年，他们因一位河北大学老师的介绍入驻科技园，正式组建永亮文化创意有限公司，将企业的研发、设计和电商业务搬到了保定。2012年8月真正尝到电商的甜头，第一次参加聚划算活动，""3个小时卖了4000多单！""2013年""双11""一天卖了166万元的货。",https://www.ctn1986.com/index.php?c=content&a=show&id=45423
22,高阳县污水处理厂扩容到20万吨（2012年）,高阳县政府,2012,,环保治理、循环经济,2012年，污水处理厂的日处理能力扩容到20万吨，达到全省县级规模最大，配套的123公里管网，覆盖全县所有印染企业；县财政每年拿出8000万元左右，对污水处理费进行补贴。2013年底，高阳工业企业生产废水全部进入污水处理厂集中处理，出水水质稳定达到国家一级A标准。,http://www.gaoyang.gov.cn/info_show.asp?infoid=5490
23,永亮毛巾走出高阳，入驻保定电谷大学科技园,燕赵都市报,2012,,毛巾产业、电子商务、品牌建设,"永亮毛巾2012年因一位河北大学老师的介绍入驻电谷大学科技园，正式组建永亮文化创意有限公司，将企业的研发、设计和电商业务搬到了保定。""走出高阳让我们有机会找到更专业的人才。""真正尝到电商的甜头是在2012年8月，第一次参加聚划算活动，""3个小时卖了4000多单！""目前，""棉小兜""系列基本成熟，近期将推向市场。""整个研发投入到现在已经超过百万元。""",https://www.ctn1986.com/index.php?c=content&a=show&id=45423
24,高阳县被列为首批国家级循环经济示范县创建单位,国家发改委,2013,,循环经济、环保治理、政策支持,"2013年，高阳县被国家发改委列为首批国家级循环经济示范县创建单位。高阳县积极探索循环经济发展新模式、新路径，依托县污水处理厂建设循环经济示范区，形成了集纺织印染、污水处理、热能回收、中水回用、供热供气、余热发电、废渣利用的""七位一体""的循环经济产业体系。",https://gaoyang.gov.cn/info_show.asp?infoid=10503
25,高阳县职教中心电子商务专业开始招生,高阳县政府,2013,,电子商务、纺织行业,2013年以来，高阳县职教中心电子商务专业累计招生2100多人，源源不断为全县纺织电商发展输送人才。高阳县主动作为，以多种方式培养电商专业人才。去年以来，依托邦辰创业辅导基地等载体，全县累计开展电商培训21期，培训1800多人。,https://gaoyang.gov.cn/info_show.asp?infoid=11003
26,卡缦公司成立，工厂正式投入生产,上游新闻,2013,,毛巾产业、品牌建设,2013年卡缦公司成立，工厂也正式投入生产，目前已经成为高阳毛巾行业中的领军企业。随着纺织行业设计制版技术的提升，他所在的设计公司也不再满足于单纯从事设计业务，2011年企业领导层决定向毛巾生产方向转型。,http://m.toutiao.com/group/7417094596989944359/
27,"""棉小兜""婴童毛巾品牌研发投入超过百万元",燕赵都市报,2013,,毛巾产业、品牌建设、电子商务,"""棉小兜""是针对0-3岁婴童细分市场专门打造的全新品牌。历时三年""孕育""而成——从设计研发、产品测试、收集反馈到品牌推广……几乎全部""在线""进行。""棉小兜""的卡通形象，是永亮在河北大学艺术系近百名师生的几轮投稿中反复评比筛选，用了近一年的时间才最终修改完成的。产品研发和品牌包装同步进行。婴童产品对材质和工艺都提出更高的要求，为此，段惠三赴日本参观学习，最终选用了多层万针的特殊织法，并通过瑞士检测机构的质量认证。""整个研发投入到现在已经超过百万元。""",https://www.ctn1986.com/index.php?c=content&a=show&id=45423
28,高阳县被列为首批国家级循环经济示范县创建单位（2013年）,国家发改委,2013,,循环经济、环保治理、政策支持,"2013年，高阳县被国家发改委列为首批国家级循环经济示范县创建单位。高阳县积极探索循环经济发展新模式、新路径，依托县污水处理厂建设循环经济示范区，形成了集纺织印染、污水处理、热能回收、中水回用、供热供气、余热发电、废渣利用的""七位一体""的循环经济产业体系。这一政策为高阳纺织产业的绿色转型提供了强有力的政策支撑。",https://gaoyang.gov.cn/info_show.asp?infoid=10503
29,高阳县纺织产业电子商务发展（2013-2014年）,高阳县政府,2014,,纺织行业、电子商务、产业升级,"2013年以来，高阳县职教中心电子商务专业累计招生2100多人，源源不断为全县纺织电商发展输送人才。三利毛巾2014年着重在电商领域发力，目前其已成为电商家纺类目头部品牌。全县利用网上销售纺织产品的企业达到3000多家，年交易额超过170多亿元，占到全县纺织行业年销售收入的""半壁江山""。",https://www.chinanews.com.cn/cj/2024/09-12/10284615.shtml
30,高阳纺织产业升级与电子商务发展（2013-2014年）,高阳县政府,2014,,纺织行业、电子商务、产业升级,"高阳县不断加大毛巾行业技改力度，鼓励引导纺织企业进行技术改造和设备更新。2013年以来，高阳县职教中心电子商务专业累计招生2100多人，源源不断为全县纺织电商发展输送人才。三利毛巾2014年着重在电商领域发力，目前其已成为电商家纺类目头部品牌。全县利用网上销售纺织产品的企业达到3000多家，年交易额超过170多亿元，占到全县纺织行业年销售收入的""半壁江山""。",https://www.chinanews.com.cn/cj/2024/09-12/10284615.shtml
31,瑞春纺织公司董事长张瑞春任高阳县毛巾行业协会会长,河北省纺织工程学会,2014,,毛巾产业、产业集群,"2014年08月通过充分协调筹备，重新改组了""高阳县毛巾行业协会""，理事会会员一致推举瑞春公司董事长张瑞春任协会会长。面对政府领导的要求，同行企业家的期盼，多次组织县域同行企业赴日本今治地区等毛巾企业参观，学习国内外先进的生产技术及管理经验，组织企业参加中国家纺协会的纺织品展会，为企业拓宽销售途径，产品升级换代打下了坚实的物质基础。",https://www.hbfangzhi.com/xwdt/view-40.html
32,高阳县毛巾紧抓机遇加速崛起,高阳县政府,2015-07-27,,毛巾产业、纺织行业、环保治理、产业集群,"京津冀一体化为产业发展带来了新的机遇，纺织业作为保定市五大支柱产业之一，所辖各市县纷纷发挥自身优势，弥补发展中的不足，力争产业落地。高阳县有着400多年纺织历史，是""中国毛毯之乡""、""中国纺织产业基地县""以及""中国毛巾·毛毯名城""。全县拥有3000余家纺织企业，98个纺织专业村，各类织机超过4万台，从业人员16万人，年销售220多亿元，主导产品毛巾、毛线、毛毯占据全国同类产品近三分之一的市场份额。高阳县以""工业污水零排放、工业废物零污染、工业用水零开发""为目标，以纺织印染、污水处理、供热供气、废渣利用等企业为基点，创建了一种经济与资源环境和谐发展的资源循环利用运行模式。河北省毛巾制品质量监督检验站已通过河北省质监局的批复，成为省级的毛巾检验中心。",http://www.gaoyang.gov.cn/com_show.asp?infoid=109
33,2015年高阳县纺织品年交易额达到320亿元,高阳县政府,2015,,纺织行业、产业集群,2015年高阳县纺织品年交易额达到320亿元。高阳纺织商贸城作为纺织产业转型升级的引领平台起到关键作用。高阳县现有纺织企业4000余家，从业人员约12万人，拥有中国驰名商标三利、永亮、智阳、瑞春四个品牌，形成了以毛巾、毛毯为主，纺、织、印、染、整门类齐全的产业体系。,https://bd.hebnews.cn/2016-01/12/content_5280643.htm
34,高阳县双11线上销售超4000万元（2015年记录）,经济日报,2015-11-11,,电子商务、毛巾产业,高阳纺织双11线上销售超4000万元。随着信息化和品牌化的发展，电子商务成为高阳纺织产业一种全新的营销手段。在高阳县三利集团毛巾电商运营部，20多名员工紧张有序地忙碌着。我们发展线上销售业务已经有五六年了，在淘宝、天猫、京东、苏宁、国美等多家网站开设销售店铺，产品涉及毛巾浴巾、床上用品、婴童系列产品等，销量以每年百分之60的速度递增。据了解，高阳县现有近4000家纺织企业建立了营销网站，百余家外贸出口企业在境外建立销售平台。,http://m.toutiao.com/group/6353018788858200321/
35,"瑞春公司""瑞春""商标被认定为中国驰名商标",国家工商行政管理总局,2015,,毛巾产业、品牌建设,"2015年6月""瑞春""商标被国家工商行政管理总局商标局认定为中国驰名商标。2015年12月荣获保定市政府质量奖、中国纺织工业联合会产品开发贡献奖。2017年6月荣获河北省政府质量奖提名奖，2018年获得河北省专精特新中小企业称号以及最具影响力床上用品品牌称号。2019年通过了河北省企业技术中心和河北省工业设计中心的认定。",https://www.hbfangzhi.com/xwdt/view-40.html
36,三利毛巾电子商务中心建成（2015年）,高阳县政府,2015,,毛巾产业、电子商务,三利毛巾1100平方米的电子商务中心自2015年建成，配备有先进的捡货流水线、升降机等大型设备，通过计算机终端互连互通，30名工作人员日均发件能力达2万余件，极大的节约了人工成本、提升产业效能。三利毛巾自2008年成为京东商城的第一批自营商家，历经十余年的发展，形成了以天猫、京东为主，以社交、社群电商为辅的电商渠道布局。,http://www.gaoyang.gov.cn/info_show.asp?infoid=7955
37,高阳县外贸出口额达到2.65亿美元（2016年）,河北省工信厅,2016,,毛巾产业、外贸出口、电子商务,2016年，高阳县纺织产业进出口企业达265家，外贸出口额达到2.65亿美元。高阳县新上先进织机3500多台（套）、先进无梭织机5000多台（套），淘汰老旧落后织机1.5万余台。利用邦辰众创空间资源优势，该县积极与阿里巴巴、京东等知名电商对接，加快跨境电商发展步伐，扩大外贸出口份额。该县利用网上销售的纺织企业有3800多家，占全县纺织企业的95%左右，网上年交易额170多亿元，占全县纺织业销售收入一半左右。,https://gxt.hebei.gov.cn/hbgyhxxht/xwzx32/dfgz28/2025042121540365598/index.html
38,高阳纺织企业触网求变（2016年8月报道）,经济日报,2016-08-09,,纺织行业、电子商务,"在高阳县纺织商贸城内，卡其曼毛巾销售门店的店主闫欢正忙着打包发货，他的妻子谭微则通过网络与客户快速地交流着。""现在很少有客户上门订货了，基本上都是在网上看样品下订单""。高阳县纺织商贸城管委会主任臧哲辉说：""我们商贸城有450余家商户在阿里巴巴网、淘宝网等网络平台开展电子商务业务。""据不完全统计，该县已有近4000家纺织企业建立了营销网站，百余家外贸出口企业在境外建立了销售平台。高阳县通过政策支持和市场引导，加快建设县、乡、村三级电子商务平台和物流配送体系建设。",http://paper.ce.cn/jjrb/html/2016-08/09/content_308363.htm
39,高阳投资3.45亿打造新纺织商贸城,河北新闻网,2016-01-12,,纺织行业、产业集群、市场建设,高阳县以京津冀协同发展为契机，将投资3.45亿对高阳纺织商贸城进行升级改造。高阳纺织商贸城于2001年5月启动运营，有固定门店1282套和1.2万平方米的棚区，可容纳固定商户1200余家和1468个临时商户。高阳纺织商贸城要对1.2万平方米的棚区进行升级改造，建设商厦楼。项目总占地16980平方米，计划建设两栋四层商业楼，建筑总面积为7.2万平方米，其中地上建筑面积为6.2万平方米，建设总投资3.45亿元。新商厦以经营服装、百货、家电、日用品、精品毛巾为主，同时融合餐饮娱乐、会议办公、研发设计、电子商务等综合服务功能。项目建成后将吸引一千余家商户入驻，成为该县单体规模最大、经营业态全面、产品丰富、配套完善的商业综合体。,https://bd.hebnews.cn/2016-01/12/content_5280643.htm
40,高阳·中国毛巾城项目启动（2016年）,高阳县政府,2016,,毛巾产业、产业集群、品牌建设,2016年起高阳县开始投资建设高阳·中国毛巾城项目。该项目是高阳毛巾名城建设的重要举措，旨在加大产业配套和产业增值服务，建设国际营销平台、电子商务平台、产品展览中心，建立融资服务平台，培育毛巾品牌、培养龙头企业等。高阳毛巾产量占全国市场份额三分之一，年产值超400亿，成为省级出口基地。,http://www.gyfzzs.com/about.html
41,高阳县纺织产业外贸出口增长（2016年）,河北省工信厅,2016,,毛巾产业、外贸出口、电子商务,高阳县是国家外贸转型升级专业型示范基地。近年来，该县依托纺织传统产业优势，大力发展外向型经济，加快推进外贸转型升级，外贸企业不断增加，出口数额持续增长。2016年，该县纺织产业进出口企业达265家，外贸出口额达到2.65亿美元。高阳县新上先进织机3500多台（套）、先进无梭织机5000多台（套），淘汰老旧落后织机1.5万余台。利用邦辰众创空间资源优势，该县积极与阿里巴巴、京东等知名电商对接，加快跨境电商发展步伐，扩大外贸出口份额。该县利用网上销售的纺织企业有3800多家，占全县纺织企业的95%左右，网上年交易额170多亿元，占全县纺织业销售收入一半左右。,https://gxt.hebei.gov.cn/hbgyhxxht/xwzx32/dfgz28/2025042121540365598/index.html
42,"卡缦公司""魔术枕巾""获得专利（2016年）",上游新闻,2016,,毛巾产业、品牌建设,"基于此，卡缦公司设计总监史树雷设计出了背后装有按扣，能够适应不同尺寸枕芯的""魔术枕巾""，不仅不易滑落，而且拆洗方便，能够代替传统枕巾，更加方便人们日常生活。2016年，该产品获得专利，推向市场后好评不断，目前已经在全国范围内服务超2000万个家庭。",https://www.thxww.com.cn/shengnei/18418.html
43,永亮纺织品有限公司数字化车间建设（2016年）,高阳县政府,2016,,纺织行业、数字化转型,早在2016年，永亮纺织品有限公司便投入资金300万元对全新生产车间投入建设，建成后的自动节拍生产流水线可实现从接单、下达生产计划、采购管理、生产管理全链条的一体化、智能化生产模式。2017年建成投产4条标准化自动生产流水线，实现从接单、生产、入库的生产管理全链条智能化、数字化生产模式。车间生产产能由原有的1800万提升到3600万，产品销售额同比增长20%。,http://www.gaoyang.gov.cn/info_show.asp?infoid=7955
44,高阳纺织产业外贸出口额完成1.07亿美元（2017年1-5月）,河北日报,2017-06-13,,毛巾产业、外贸出口、品牌建设,今年1至5月份，高阳县纺织产业外贸出口额完成1.07亿美元，同比增长14%。2017年高阳县纺织业实现产值约350亿元，对GDP贡献率达65%以上。高阳县依托纺织传统产业优势，大力发展外向型经济。抓技改，重创新，育品牌，推动产业转型升级。目前，该县拥有三利、永亮、智阳、瑞春4个中国驰名商标，省级以上著名商标、名优产品58个，自主研发品牌2464个，实现了以贴牌出口为主向扩大自主品牌出口的转变。,https://gxt.hebei.gov.cn/hbgyhxxht/xwzx32/dfgz28/2025042121540365598/index.html
45,高阳纺织产业向自主品牌出口转身（2017年1-5月）,河北日报,2017-06-13,,毛巾产业、外贸出口、品牌建设、纺织行业,近日，笔者从高阳县政府获悉，今年1至5月份，该县纺织产业外贸出口额完成1.07亿美元，同比增长14%。2017年高阳县纺织业实现产值约350亿元，对GDP贡献率达65%以上。高阳县依托纺织传统产业优势，大力发展外向型经济。抓技改，重创新，育品牌，推动产业转型升级。高阳强力支持企业加快技术改造和设备更新，近年来，该县新上先进织机3500多台（套）、先进无梭织机5000多台（套），淘汰老旧落后织机1.5万余台。鼓励引导县内规模纺织企业自己建立研发设计机构，同时引进专业人才，成立了河北鼎智纺织技术科技有限公司，为纺织企业研发设计提供技术支持。目前，该公司服务企业已经有50余家。鼓励企业争创名牌名品，实施品牌战略。目前，该县拥有三利、永亮、智阳、瑞春4个中国驰名商标，省级以上著名商标、名优产品58个，自主研发品牌2464个，实现了以贴牌出口为主向扩大自主品牌出口的转变。,https://gxt.hebei.gov.cn/hbgyhxxht/xwzx32/dfgz28/2025042121540365598/index.html
46,永亮公司草木染产品申报国家专利并量产（2017年）,高阳县政府,2017,,毛巾产业、品牌建设,"2017年10月，永亮公司把草木染工艺申报国家专利，并正式量产。2006年，经永亮公司挖掘、整理和推动，高阳民间染织技艺被列入省级非遗名录。公司投入大量人力、财力，经过4年多研究，开发出了红、黄等八种植物色素，研发出专用设备，并成立创意工作室，开发出特色礼品毛巾及抱毯、睡袋、蝴蝶服等婴童产品。""头一年小批量生产，探探市场反应。没想到价格比同类产品高30%，在商超市场的销售仍供不应求。""",http://www.gaoyang.gov.cn/info_show.asp?infoid=5711
47,"高阳毛巾""变形记""（一）：集聚效应 让纺织产业""活""起来",高阳县政府,2018-12-06,,毛巾产业、环保治理、产业集群、循环经济,"位于冀中平原腹地的高阳县，有400多年的纺织历史，形成了集纺纱、织造、印染、销售于一体的完整产业链条，全县从业人员超过14万人，纺织业每年对县财政贡献率高达六七成，是当地最重要的支柱产业。然而，产业链中印染环节所带来的水污染和燃煤污染，却成为当地不能承受之重。为了根治污染，重现碧水蓝天，2006年，高阳县投资1.78亿元建成日处理能力6万吨的污水处理厂，并同步建设24.5公里的配套管网，引导企业将印染废水集中到污水处理厂统一处理。2012年，污水处理厂的日处理能力扩容到20万吨，达到全省县级规模最大，配套的123公里管网，覆盖全县所有印染企业；县财政每年拿出8000万元左右，对污水处理费进行补贴；并同步出台""史上最严""的环保倒逼政策。2013年底，高阳工业企业生产废水全部进入污水处理厂集中处理，出水水质稳定达到国家一级A标准。高阳通过建设8.79平方公里的循环经济示范区，依托集中供热等项目，完善气、水、交通等基础设施，引导企业进园区聚集整合。示范区内已经有34家纺织印染企业入驻。",http://www.gaoyang.gov.cn/info_show.asp?infoid=5490
